estab_internacao;sim;nao;ign;total
0102105 HOSPITAL MUNICIPAL BRASILANDIA;616;85;291;992
2080427 HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA;4;8;1;13
6095666 HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN;6;3;3;12
2388928 HOSPITAL MUNICIPAL DE CASA NOVA - CASA NOVA (BA);1;;;1
2080028 HOSPITAL MUNICIPAL DE DIADEMA HMD;35;3;21;59
5935857 HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN;30;48;7;85
2079615 HOSPITAL MUNICIPAL DE IBIUNA IBIUNA SP;2;;1;3
2081091 HOSPITAL MUNICIPAL DE ITAPIRA;2;1;;3
3569543 HOSPITAL MUNICIPAL DE MIRANDA RENATO ALBUQUERQUE FILHO - MIRANDA - MS;1;;;1
2058308 HOSPITAL MUNICIPAL DR ACILIO CARREON GARCIA - NOVA ODESSA - SP;;1;;1
2600854 HOSPITAL MUNICIPAL DR ALVARO BEZERRA - MARACAS (BA);1;;;1
2082411 HOSPITAL MUNICIPAL DR GUIDO GUIDA;9;1;;10
2081490 HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS;2;;;2
0161438 HOSPITAL MUNICIPAL GUARAPIRANGA;805;133;71;1009
2704587 HOSPITAL MUNICIPAL HUGO MIRANDA - PARATI - RJ;1;;;1
2109867 HOSPITAL MUNICIPAL MONSENHOR FLAVIO DAMATO;2;;;2
2363070 HOSPITAL MUNICIPAL PEDRO I COVID 19 - CAMPINA GRANDE (PB);1;2;;3
5200105 HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA;4;8;;12
6854729 HOSPITAL MUNICIPAL RUTH CARDOSO;1;;;1
2436469 HOSPITAL MUNICIPAL SAO JOSE;1;;;1
2027356 HOSPITAL MUNICIPAL UNIVERSITARIO;;1;;1
2749319 HOSPITAL MUNICIPAL UNIVERSITARIO DE TAUBATE;;1;;1
2168243 HOSPITAL MUNICIPAL WALDEMAR DAS DORES - BARAO DE COCAIS (MG);;1;;1
2023474 HOSPITAL MUNICIPAL WALTER FERRARI;1;;;1
5158044 HOSPITAL NAVAL MARCILIO DIAS;1;;;1
9149511 HOSPITAL NEUROCENTER;142;42;13;197
6563570 HOSPITAL NEXT RUDGE RAMOS;2;;;2
2083248 HOSPITAL NEXT SAO BERNARDO;21;13;1;35
2089777 HOSPITAL NIPO BRASILEIRO;429;64;623;1116
2080052 HOSPITAL NOSSA SENHORA APARECIDA;1;1;;2
2078538 HOSPITAL NOSSA SENHORA APARECIDA - ITUPEVA (SP);1;;;1
2257548 HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA - CAMAQUA (RS);;;1;1
2082330 HOSPITAL NOSSA SENHORA DE FATIMA;62;112;36;210
9768688 HOSPITAL NOVA NEOMATER;12;5;5;22
2078228 HOSPITAL NOVO ATIBAIA;7;;;7
9744665 HOSPITAL ORION - GOIANIA - GO;1;;1;2
2076950 HOSPITAL OSWALDO CRUZ;861;159;252;1272
0000477 HOSPITAL OSWALDO CRUZ;3;2;;5
2089327 HOSPITAL PADRE ALBINO CATANDUVA;;1;;1
7898843 HOSPITAL PANAMERICANO - RIO DE JANEIRO - RJ;1;;1;2
2587165 HOSPITAL PARANA;1;1;;2
3000885 HOSPITAL PILAR;;1;;1
0009601 HOSPITAL PIO XII - SAO JOSE DOS CAMPOS (SP);;1;;1
2078767 HOSPITAL PITANGUEIRAS;4;1;1;6
0004251 HOSPITAL PORTUGUES - SALBADOR (BA);1;1;;2
2798220 HOSPITAL PREVINA;66;40;14;120
9357661 HOSPITAL PROMED - GOIANIA (GO);1;;;1
2126494 HOSPITAL PUBLICO REGIONAL PREFEITO OSVALDO REZENDE FRANCO;1;;;1
2487438 HOSPITAL REGIONAL DANTAS BIAO - ALAGOINHAS (BA);;1;;1
7013620 HOSPITAL REGIONAL DE BARREIRINHAS;;1;;1
2792141 HOSPITAL REGIONAL DE COTIA;10;;14;24
2078511 HOSPITAL REGIONAL DE ILHA SOLTEIRA - ILHA SOLTEIRA (SP);1;;;1
9556095 HOSPITAL REGIONAL DE REGISTRO - REGISTRO (SP);1;1;;2
0008052 HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO;69;31;3;103
2436450 HOSPITAL REGIONAL HANS DIETER SCHMIDT;;1;;1
2087804 HOSPITAL REGIONAL JORGE ROSSMANN DE ITANHAEM;1;;;1
9141839 HOSPITAL REGIONAL JOSE ALENCAR - UBERABA - MG;1;;2;3
6848710 HOSPITAL REGIONAL NORTE - SOBRAL (CE);1;;;1
7563701 HOSPITAL REGIONAL PUBLICO DO LESTE DO PARA - PARAGOMINAS - PA;;1;;1
2091313 HOSPITAL REGIONAL SUL SAO PAULO;375;358;4;737
3242587 HOSPITAL REGIONAL UNIMED - FORTALEZA (CE);;;1;1
7044666 HOSPITAL RENASCENCA CAMPINAS;;1;;1
9490604 HOSPITAL SAGRADA FAMILIA;16;11;7;34
9554157 HOSPITAL SALVALUS;1983;139;289;2411
2302500 HOSPITAL SALVATORIANO DIVINO SALVADOR - VIDEIRA - SC;1;;;1
2078732 HOSPITAL SAMARITANO DE SOROCABA;1;1;;2
9684948 HOSPITAL SAMARITANO PAULISTA;283;114;356;753
7174691 HOSPITAL SANCTA MAGGIORE ALTO DA MOOCA;187;13;8;208
9131434 HOSPITAL SANCTA MAGGIORE HIGIENOPOLIS;1095;77;54;1226
7174705 HOSPITAL SANCTA MAGGIORE ITAIM;88;22;9;119
6618332 HOSPITAL SANCTA MAGGIORE LIBERDADE;4;;1;5
7174713 HOSPITAL SANCTA MAGGIORE MOOCA;679;69;31;779
7174721 HOSPITAL SANCTA MAGGIORE PARAISO;1943;151;115;2209
7357079 HOSPITAL SANCTA MAGGIORE PINHEIROS;935;54;72;1061
7435568 HOSPITAL SANCTA MAGGIORE SAO BERNARDO;20;6;;26
9620494 HOSPITAL SANTA ANA;61;46;44;151
2149990 HOSPITAL SANTA CASA DE MONTES CLAROS;;2;;2
7676484 HOSPITAL SANTA CLARA;302;141;12;455
2151871 HOSPITAL SANTA CLARA;1;;;1
3000869 HOSPITAL SANTA CRUZ;1;;;1
2151812 HOSPITAL SANTA GENOVEVA - UBERLANDIA (MG);;1;;1
3019608 HOSPITAL SANTA HELENA;1;;;1
3528596 HOSPITAL SANTA HELENA;57;8;1;66
2081539 HOSPITAL SANTA HELENA ASSISTENCIA MEDICA SB DO CAMPO;4;5;3;12
2079445 HOSPITAL SANTA ISABEL;174;320;36;530
2517132 HOSPITAL SANTA JOANA;;;1;1
3005402 HOSPITAL SANTA LUZIA - BRASILIA - DF;;;1;1
7849184 HOSPITAL SANTA MARIA DE SUZANO;5;2;2;9
2089580 HOSPITAL SANTA PAULA;490;70;17;577
2604388 HOSPITAL SANTA ROSA;;1;;1
2081784 HOSPITAL SANTA THEREZINHA BROTAS;1;;;1
2083256 HOSPITAL SANTANA;13;5;;18
2303167 HOSPITAL SANTO ANTONIO DE ITAPEMA - ITAPEMA (SC);;;1;1
2080354 HOSPITAL SANTO ANTONIO SANTOS;1;;;1
2558254 HOSPITAL SANTO ANTONIO - BLUMENAU (SC);1;1;;2
2795671 HOSPITAL SANTO ANTONIO - SINOP (MT);;1;;1
5654688 HOSPITAL SANTO EXPEDITO;;;1;1
3047822 HOSPITAL SAO BERNARDO;107;80;20;207
7150938 HOSPITAL SAO BERNARDO S A UNIDADE BAETA NEVES;1;;;1
3027600 HOSPITAL SAO CAMILO IPIRANGA;80;31;81;192
2688565 HOSPITAL SAO CAMILO POMPEIA;747;902;120;1769
3039420 HOSPITAL SAO CAMILO SANTANA;388;78;64;530
2308665 HOSPITAL SAO DOMINGOS (SAO LUIS - MARANHAO);1;2;;3
2729539 HOSPITAL SAO FRANCISCO - CAMBE (PR);1;;;1
2303892 HOSPITAL SAO FRANCISCO - CONCORDIA (SC);1;;;1
2079275 HOSPITAL SAO FRANCISCO RIBEIRAO PRETO;1;;;1
3101126 HOSPITAL SAO FRANCISCO SC LTDA;2;7;1;10
2119447 HOSPITAL SAO GERALDO - SAO JOAO DA PONTE (MG);1;;;1
2306336 HOSPITAL SAO JOSE - JARAGUA DO SUL (SC);1;;;1
2688700 HOSPITAL SAO LUCAS;1;;;1
2078740 HOSPITAL SAO LUCAS DE SANTOS;;1;;1
5171946 HOSPITAL SAO LUCAS RIBEIRANIA (RIBEIRÇO PRETO);;2;1;3
2081261 HOSPITAL SAO LUIZ;2;;;2
9194258 HOSPITAL SAO LUIZ SAO CAETANO;146;14;14;174
7320175 HOSPITAL SAO MIGUEL ARCANJO - SAO MIGUEL ARCANJO (SP);;1;;1
2077485 HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO;1490;506;24;2020
2509369 HOSPITAL SAO PEDRO - REMANSO (BA);1;;;1
0003808 HOSPITAL SAO RAFAEL;2;;;2
2080923 HOSPITAL SAO VICENTE - SAO JOSE DO RIO PARDO - SP;1;;;1
2487756 HOSPITAL SAO VICENTE DE PAULO;2;1;;3
2081741 HOSPITAL SBC;21;7;3;31
2819473 HOSPITAL SERRA MAYOR;8;3;;11
5101654 HOSPITAL SINO BRASILEIRO;28;5;;33
2078155 HOSPITAL STELLA MARIS;14;17;;31
2708566 HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO;3;4;;7
6236367 HOSPITAL UNIMED GOVERNADOR VALADARES - GOVERNADOR VALADARES (MG);1;;;1
3987957 HOSPITAL UNIMED ITAPETININGA;;1;;1
3582647 HOSPITAL UNIMED PRONTO ATENDIMENTO - POCOS DE CALDAS (MG);;2;;2
5586348 HOSPITAL UNIV DA UFSCAR PROF DR HORACIO C PANEPUCCI - SAO CARLOS (SP);;1;;1
2076926 HOSPITAL UNIVERSITARIO DA USP SAO PAULO;62;17;12;91
5860490 HOSPITAL UNIVERSITARIO DE MARILIA;1;;;1
2587335 HOSPITAL UNIVERSITARIO REGIONAL DE MARINGA;1;;;1
2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA;4;1;;5
2704900 HOSPITAL UNIVERSITARIO SAO FRANCISCO NA PROVIDENCIA DE DEUS;3;2;;5
9735372 HOSPITAL VILA NOVA STAR;170;44;120;334
5590450 HOSPITAL VILLA LOBOS;309;182;842;1333
7124139 HOSPITAL VITAL;10;7;;17
6668143 HOSPITAL VITORIA;898;68;52;1018
3507157 HOSPITAL VIVALLE;;1;;1
6988938 HOSPITAL VIVALLE - SAO JOSE DOS CAMPOS;;1;4;5
3811735 HOSPITALAR ASSUNCAO;5;2;;7
3272591 HOSPITALIS;;2;4;6
0010464 HRAN;;1;;1
2645157 HRL;;;1;1
2672197 HRSAM HOSPITAL REGIONAL DE SAMAMBAIA - BRASILIA (DF);1;;;1
3027805 HSANP HOSPITAL;67;26;25;118
9392645 HUMANA MAGNA - SÇO PAULO (SP);1;1;;2
2077590 IBCC;41;33;1;75
2488892 IBR HOSPITAL - VITORIA DA CONQUISTA (BA);1;;;1
0000434 IMIP;;;1;1
0019402 IMPERIAL HOSPITAL DE CARIDADE;1;;;1
2288338 INI FIOCRUZ;1;;;1
7261012 INNOVA HOSPITAIS ASSOCIADOS LTDA;7;3;12;22
6396607 INNOVA HOSPITAIS ASSOCIADOS LTDA;3;;5;8
7544529 INST DE INFECT EMILIO RIBAS II BAIXADA SANTISTA;2;1;1;4
2080125 INST DO CANCER ARNALDO VIEIRA DE CARVALHO;37;8;78;123
2088495 INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO;215;98;16;329
2028840 INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;620;54;77;751
6123740 INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;1;;;1
2078066 INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO;5;1;2;8
2084368 INTERMEDICA SISTEMA DE SAUDE;42;11;4;57
5074320 INTERMEDICA SISTEMA DE SAUDE SA;1;;;1
2237253 IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE;;1;;1
2087111 IRMANDADE DA SANTA CASA DE MISERICORDIA LORENA - LORENA (SP);;1;;1
3597156 MADRECOR HOSPITAL;1;;;1
3027813 MASTER CLIN;;1;;1
2022621 MATERNIDADE DE CAMPINAS;1;;;1
2825589 METROPOLITANA DE SARANDI;;;1;1
7148518 NOTRE DAME INTERMEDICA SAUDE;1;1;;2
2040727 PA MUN DR ATUALPA GIRAO RABELO;26;5;5;36
2075423 PA MUN SAO MATEUS II;1;;3;4
7033850 PA RODRIGO ARGOLO;;1;;1
3187799 PRO CARDIACO - RIO DE JANEIRO (RJ);;;1;1
3037274 PRO MATRE PAULISTA;;1;;1
2599848 PRONCOR - CAMPO GRANDE (MS);1;;;1
6591620 PRONTO ATENDIMENTO INFANTIL;;1;;1
2073552 PRONTO ATENDIMENTO JARDIM PARAISO;2;1;3;6
6600344 PRONTO ATENDIMENTO LUIZ GONZAGA ROCHA;1;;;1
2090589 PRONTO ATENDIMENTO MARIA DIRCE;1;;;1
5595746 PRONTO ATENDIMENTO PARAVENTI;1;;1;2
7931670 PRONTO ATENDIMENTO SANCTA MAGGIORE JARDIM PAULISTA;43;1;;44
9095195 PRONTO ATENDIMENTO SANCTA MAGGIORE MORUMBI;31;2;1;34
9472908 PRONTO ATENDIMENTO SANCTA MAGGIORE SANTANA;65;3;4;72
6654665 PRONTO ATENDIMENTO SANCTA MAGGIORE TATUAPE;21;2;1;24
2801051 PRONTO SOCORRO CENTRAL DE DIADEMA;74;11;31;116
0008087 PRONTO SOCORRO CONRADO CESARINO NUVOLINI;9;3;;12
7522533 PRONTO SOCORRO DO ENGENHO NOVO;;;1;1
2063786 PRONTO SOCORRO DR AKIRA TADA;1;;;1
0008141 PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA;2;2;;4
6754775 PRONTO SOCORRO DR EDISON DANIEL DOS SANTOS MANO - STA BARBARA D'OESTE (SP);1;;;1
3828107 PRONTO SOCORRO DR OSMAR MESQUITA;2;3;;5
2024381 PRONTO SOCORRO MUNICIPAL ARNALDO DE FIGUEIREDO FREITAS;;;1;1
5406390 PRONTO SOCORRO MUNICIPAL DE ITANHAEM;1;;;1
2039001 PRONTO SOCORRO MUNICIPAL DE SUZANO;2;2;;4
2024373 PRONTO SOCORRO MUNICIPAL JOSE AGOSTINHO DOS SANTOS;2;;;2
3825752 PRONTO SOCORRO PESTANA P S ANDRE SACCO;2;2;;4
2789353 PRONTO SOCORRO PROF DR MATHEUS SANTAMARIA GUARUJA;1;1;;2
4048474 PRONTO SOCORRO VEREADOR LEVY DE LIMA;1;;;1
2082209 PS E MATERNIDADE NAIR FONSECA LEITAO ARANTES;5;1;3;9
5932696 PS FENELON GUEDES PEREIRA;7;4;;11
7682581 PS JOSE IBRAHIN;15;17;;32
2037971 PS MUN AUGUSTO GOMES DE MATOS;;1;3;4
4050320 PS MUN DR ALVARO DINO DE ALMEIDA;174;39;54;267
2027100 PS MUN DR CAETANO VIRGILIO NETTO;342;68;48;458
2029189 PS MUN FREGUESIA DO O 21 DE JUNHO;151;52;42;245
2082837 PS MUN PROF JOAO CATARIN MEZOMO;47;12;31;90
2071495 PS MUN SANTANA LAURO RIBAS BRAGA;187;71;37;295
2075407 PS MUN V MARIA BAIXA;235;26;97;358
6024688 PSI PRONTO SOCORRO INFANTIL DE TABOAO DA SERRA;9;1;;10
2752093 PSM BALNEARIO SAO JOSE;14;10;2;26
4050282 PSM DONA MARIA ANTONIETA FERREIRA DE BARROS;187;78;11;276
0001120 REAL HOSPITAL PORTUGUES;;;1;1
2078465 REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA;1;;;1
3580822 REDE DOR SAO LUIZ S A;2;;;2
3566692 RESIDENCIAL ALBERT EINSTEIN;1;;;1
7642415 SAMARITANO BARRA - RIO DE JANEIRO (RJ);;1;;1
2171945 SANTA CASA DE ALFENAS;1;;;1
2082691 SANTA CASA DE ANDRADINA;1;1;;2
2083051 SANTA CASA DE APARECIDA;1;1;;2
2078775 SANTA CASA DE ARACATUBA HOSP SAGRADO CORACAO DE JESUS - ARACATUBA (SP);1;;;1
0027014 SANTA CASA DE BELO HORIZONTE;4;;;4
2192020 SANTA CASA DE CAMPO BELO;1;;;1
2135132 SANTA CASA DE CARIDADE;;1;;1
2093324 SANTA CASA DE FERNANDOPOLIS;;1;;1
2705982 SANTA CASA DE FRANCA - FRANCA - SP;;1;;1
2083876 SANTA CASA DE FRANCISCO MORATO;;2;1;3
2773333 SANTA CASA DE GUARAREMA;1;3;;4
2092298 SANTA CASA DE ITU;1;;;1
2791722 SANTA CASA DE JAU;1;1;;2
2083116 SANTA CASA DE MARILIA;2;1;;3
2751747 SANTA CASA DE MAUA;6;2;1;9
2688433 SANTA CASA DE MISERICORDIA DE BRAGANCA PAULISTA;4;1;2;7
2442612 SANTA CASA DE MISERICORDIA DE CATALAO;1;;;1
2027186 SANTA CASA DE MISERICORDIA DE ITAPEVA;;1;;1
2023709 SANTA CASA DE MISERICORDIA DE ITATIBA;1;;;1
2080958 SANTA CASA DE MISERICORDIA DE PALMITAL - PALMITAL (SP);;1;;1
2798298 SANTA CASA DE MISERICORDIA DE SAO JOSE DO RIO PRETO;2;;;2
2748029 SANTA CASA DE MISERICORDIA DE SAO JOSE DOS CAMPOS;2;;1;3
2702193 SANTA CASA DE MISERICORDIA DE UBATUBA;2;;;2
2139200 SANTA CASA DE MISERICORDIA DO HOSPITAL SAO FRANCISCO DE ASSIS - TRES PONTAS (MG);;1;;1
2084228 SANTA CASA DE MISERICORDIA DONA CAROLINA MALHEIROS SJBV - SAO JOAO DA BOA VISTA;1;;;1
4049020 SANTA CASA DE OURINHOS;1;;;1
2129469 SANTA CASA DE POCOS DE CALDAS - POCOS DE CALDAS (MG);1;;;1
2079925 SANTA CASA DE PORTO FELIZ;3;1;;4
2084414 SANTA CASA DE RIBEIRAO PRETO;1;;;1
2082888 SANTA CASA DE RIO CLARO;1;;;1
2083140 SANTA CASA DE SANTA ISABEL;1;;;1
2025752 SANTA CASA DE SANTOS;;;3;3
2080931 SANTA CASA DE SAO CARLOS;2;1;1;4
2688689 SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO;774;371;42;1187
2699915 SANTA CASA DE VINHEDO;2;;;2
2081377 SANTA CASA DE VOTUPORANGA;1;;;1
2080532 SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT;1;;;1
2084058 SANTA CASA MISER STA CRUZ RIO PARDO;1;1;;2
3547434 SANTA HELENA ASSISTENCIA MEDICA - MAUA (SP);;1;;1
3824802 SAO LUIZ UNIDADE MORUMBI;432;383;355;1170
2786338 SECAO PRONTO SOCORRO DA ZONA NOROESTE SEPROS ZNO;;;1;1
6450237 SECRETARIA MUNICIPAL DE SAUDE DE SOCORRO SP - SOCORRO (SP);1;;;1
7166494 SMS HOSPITAL MUNICIPAL EVANDRO FREIRE AP 31 - RIO DE JANEIRO (RJ);;1;;1
2087103 SOCIEDADE OPERARIA HUMANITARIA LIMEIRA;;1;;1
2287250 SOCIEDADE PORTUGUESA DE BENEFICENCIA DE CAMPOS - CAMPOS DOS GOYTACAZES - RJ;1;;;1
2748134 UBS CENTRAL DE RIO GRANDE DA SERRA - RIO GRANDE DA SERRA (SP);;1;;1
6938361 UNIDADE AMBULATORIAL HOSPITAL SAO CAETANO - SAO CAETANO DO SUL (SP);1;;;1
3015408 UNIDADE DE EMERGENCIA DR DANIEL HOULY;;;1;1
2077523 UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;832;91;13;936
7184689 UNIDADE DE PRONTO ATENDIMENTO CENTRAL DE CARAGUATATUBA;4;2;;6
2706245 UNIDADE DE PRONTO ATENDIMENTO DE FRANCO DA ROCHA UPA II;1;;;1
7711077 UNIDADE DE PRONTO ATENDIMENTO DE ITANHAEM;1;;;1
7546777 UNIDADE DE PRONTO ATENDIMENTO DR AFRANIO MARTINS - DOURADOS - MS;;1;;1
7868499 UNIDADE DE PRONTO ATENDIMENTO DRA ZILDA ARNS;;;1;1
3474674 UNIDADE DE PRONTO ATENDIMENTO JARDIM ANGELA;2;1;4;7
6008054 UNIDADE DE PRONTO ATENDIMENTO UNIDADE XVI UPA XVI - CONTAGEM (MG);1;;;1
7094132 UNIDADE DE PRONTO ATENDIMENTO UPA I SANTA ISABEL;1;;;1
2072033 UNIDADE MISTA DE SAUDE DE EMBUGUACU;;3;;3
2085976 UNIDADE MISTA DE SAUDE ROSA SANTA PASIN AGUIAR;3;;;3
2785188 UNIDADE MISTA DE TABOAO DA SERRA;7;1;1;9
0004774 UPA 24 H PROF ADROALDO ALBERGARIA - SALVADOR (BA);;1;;1
6875343 UPA 24 HORAS;;1;;1
2033135 UPA 24 HORAS JD CERVEZAO RIO CLARO;1;;;1
7053835 UPA ALVES DIAS ASSUNCAO;2;2;;4
6844596 UPA BAETA NEVES;1;;;1
0008494 UPA BANGU;4;;;4
4050665 UPA CENTRAL;1;;;1
7872593 UPA CENTRAL SANTOS;1;;;1
9400109 UPA CUMBICA;5;;;5
6535798 UPA DEMARCHI BATISTINI;3;1;;4
7429991 UPA DR AKIRA TADA;40;11;3;54
6834477 UPA DR JOSE POVOA MENDES;;;1;1
7792522 UPA EDEN SOROCABA;1;;;1
9971513 UPA ERMELINO MATARAZZO;158;31;3;192
9051422 UPA III 26 DE AGOSTO;213;39;17;269
7529368 UPA III DR ALAIR MAFRA ANAPOLIS GOIAS;1;;;1
9211861 UPA III DR THELMO DE ALMEIDA CRUZ;;1;;1
7479387 UPA III NOVA CAMPO LIMPO;1239;159;459;1857
6929583 UPA IMPERATRIZ - IMPERATRIZ (MA);;1;;1
9997091 UPA JACANA;227;48;19;294
7152574 UPA JOSE CAMPOS BARRETO ZEQUINHA BARRETO;5;3;;8
6030807 UPA JOSE SANTOS SASSO;6;;;6
2069032 UPA JULIO TUPY;181;57;12;250
0100587 UPA JURUNAS - BELEM (PA);;1;;1
6950051 UPA MAGINI CENTRO;1;2;1;4
7134665 UPA NOVA HOSTOLANDIA MANOEL GEORGINO LOPES - HORTOLANDIA - SP;1;;;1
6821197 UPA PAULICEIA TABOAO;2;;;2
9242295 UPA PAULISTA;;3;;3
6133460 UPA PEDREIRA DR CESAR ANTUNES DA ROCHA;;;1;1
7113218 UPA PERIMETRAL;4;1;;5
4050169 UPA PERUS DR LUIZ ANTONIO DE ABREU SAMPAIO DORIA;101;60;221;382
2792346 UPA PIRACICAMIRIM DR FORTUNATO LOSSO NETO PIRACICABA - PIRACICABA (SP);1;;;1
6146341 UPA PIRITUBA;476;220;9;705
6650864 UPA RIACHO GRANDE;3;;;3
7030878 UPA RUDGE RAMOS;18;16;1;35
7021461 UPA SACADURA CABRAL;2;;;2
7494068 UPA SADAKO SEDOGUTI;4;;1;5
2752107 UPA SANTO AMARO DR JOSE SYLVIO DE CAMARGO;121;72;3;196
6916074 UPA SAO JOAO LAVRAS;5;1;;6
6418651 UPA SAO PEDRO;1;;;1
9736700 UPA TITO LOPES;291;39;27;357
2164817 UPA UNIDADE DE PRONTO ATENDIMENTO SAO BENEDITO;1;;;1
9505946 UPA VERA CRUZ;1;;;1
7996802 UPA VICENTE MISSIANO;5;;;5
6950043 UPA VILA ASSIS;1;;;1
7638698 UPA VILA SANTA CATARINA;196;125;15;336
6919456 UPA ZAIRA;1;;;1
2746913 VIGILANCIA EPIDEMIOLOGICA DE COTIA;;1;1;2
